,Unnamed: 0,title,startYear,tconst,titleType,runtimeMinutes,genres,averageRating,numVotes,ordering,region,language,primaryName,birthYear,deathYear,primaryProfession
2395,3673,L'homme du train,2002,tt0301414,movie,90.0,"Crime,Drama,Thriller",7.1,6940.0,7.0,FR,\N,Patrice Leconte,1947,\N,"director,writer,camera_department"
2396,2107,Coup de tête,1979,tt0079002,movie,89.0,"Comedy,Drama,Sport",7.3,1750.0,19.0,FR,\N,Jean-Jacques Annaud,1943,\N,"director,producer,writer"
2397,2214,La Guerre du feu,1981,tt0082484,movie,100.0,"Adventure,Drama,History",7.3,20885.0,32.0,FR,\N,Jean-Jacques Annaud,1943,\N,"director,producer,writer"
2398,2467,Le nom de la rose,1986,tt0091605,movie,130.0,"Crime,Drama,Mystery",7.7,102859.0,24.0,FR,\N,Jean-Jacques Annaud,1943,\N,"director,producer,writer"
2399,2594,L'ours,1988,tt0095800,movie,96.0,"Adventure,Drama,Family",7.7,16772.0,5.0,FR,\N,Jean-Jacques Annaud,1943,\N,"director,producer,writer"
2400,3178,Sept ans au Tibet,1997,tt0120102,movie,136.0,"Adventure,Biography,Drama",7.1,131263.0,3.0,FR,\N,Jean-Jacques Annaud,1943,\N,"director,producer,writer"
2401,3776,Deux frères,2004,tt0338512,movie,109.0,"Adventure,Drama,Family",7.1,14587.0,6.0,FR,\N,Jean-Jacques Annaud,1943,\N,"director,producer,writer"
2402,2118,Un vrai schnock,1979,tt0079367,movie,94.0,Comedy,7.2,53417.0,20.0,FR,\N,Carl Reiner,1922,2020,"writer,producer,actor"
2403,2120,Kramer contre Kramer,1979,tt0079417,movie,105.0,Drama,7.8,134847.0,35.0,FR,\N,Robert Benton,1932,\N,"writer,director,producer"
2404,2363,Les saisons du coeur,1984,tt0087921,movie,111.0,Drama,7.4,10602.0,1.0,FR,\N,Robert Benton,1932,\N,"writer,director,producer"
2405,2947,Un homme presque parfait,1994,tt0110684,movie,110.0,"Comedy,Drama",7.4,18849.0,24.0,FR,\N,Robert Benton,1932,\N,"writer,director,producer"
2406,2121,Monty Python : La Vie de Brian,1979,tt0079470,movie,94.0,Comedy,8.1,370689.0,14.0,FR,\N,Terry Jones,1942,2020,"writer,actor,producer"
2407,2125,Moscou ne croit pas aux larmes,1980,tt0079579,movie,150.0,"Comedy,Drama,Romance",8.1,11680.0,11.0,FR,\N,Vladimir Menshov,1939,\N,"actor,producer,writer"
2408,2126,Les Muppets : Ça c'est du cinéma !,1979,tt0079588,movie,95.0,"Adventure,Comedy,Family",7.6,33161.0,13.0,FR,\N,James Frawley,1936,2019,"director,producer,actor"
2409,2127,Ma brillante carrière,1979,tt0079596,movie,100.0,"Biography,Drama,Romance",7.1,3867.0,7.0,FR,\N,Gillian Armstrong,1950,\N,"director,producer,writer"
2410,2133,Violences sur la ville,1979,tt0079688,movie,95.0,"Crime,Drama",7.4,6129.0,15.0,FR,\N,Jonathan Kaplan,1947,\N,"producer,director,actor"
2411,2549,Les accusés,1988,tt0094608,movie,111.0,"Crime,Drama",7.1,32131.0,35.0,FR,\N,Jonathan Kaplan,1947,\N,"producer,director,actor"
2412,2135,Quadrophenia,1979,tt0079766,movie,120.0,"Drama,Music",7.3,17435.0,28.0,FR,\N,Franc Roddam,1946,\N,"writer,producer,director"
2413,2136,"Rocky 2, la revanche",1979,tt0079817,movie,119.0,"Drama,Sport",7.3,193942.0,15.0,FR,\N,Sylvester Stallone,1946,\N,"actor,writer,producer"
2414,4176,Rocky Balboa,2006,tt0479143,movie,102.0,"Action,Drama,Sport",7.1,205623.0,6.0,FR,\N,Sylvester Stallone,1946,\N,"actor,writer,producer"
2415,2137,Le roi et l'oiseau,1980,tt0079820,movie,83.0,"Animation,Family,Fantasy",7.9,4660.0,15.0,FR,\N,Paul Grimault,1905,1994,"director,writer,actor"
2416,2138,Le château de Cagliostro,1979,tt0079833,movie,100.0,"Adventure,Animation,Family",7.7,27515.0,16.0,FR,\N,Hayao Miyazaki,1941,\N,"animation_department,director,art_department"
2417,2350,Nausicaä de la vallée du vent,1984,tt0087544,movie,117.0,"Adventure,Animation,Fantasy",8.1,153295.0,48.0,FR,\N,Hayao Miyazaki,1941,\N,"animation_department,director,art_department"
2418,2478,Le Château dans le ciel,1986,tt0092067,movie,125.0,"Adventure,Animation,Drama",8.0,152004.0,14.0,FR,\N,Hayao Miyazaki,1941,\N,"animation_department,director,art_department"
2419,2604,Mon voisin Totoro,1988,tt0096283,movie,86.0,"Animation,Family,Fantasy",8.2,296525.0,39.0,FR,\N,Hayao Miyazaki,1941,\N,"animation_department,director,art_department"
2420,2639,"Kiki, la petite sorcière",1989,tt0097814,movie,103.0,"Adventure,Animation,Drama",7.8,126643.0,21.0,FR,\N,Hayao Miyazaki,1941,\N,"animation_department,director,art_department"
2421,2786,Porco Rosso,1992,tt0104652,movie,94.0,"Adventure,Animation,Comedy",7.7,79379.0,9.0,FR,\N,Hayao Miyazaki,1941,\N,"animation_department,director,art_department"
2422,3166,Princesse Mononoké,1997,tt0119698,movie,134.0,"Action,Adventure,Animation",8.4,348718.0,27.0,FR,\N,Hayao Miyazaki,1941,\N,"animation_department,director,art_department"
2423,3535,Le voyage de Chihiro,2001,tt0245429,movie,125.0,"Adventure,Animation,Family",8.6,662590.0,40.0,FR,\N,Hayao Miyazaki,1941,\N,"animation_department,director,art_department"
2424,3793,Le château ambulant,2004,tt0347149,movie,119.0,"Adventure,Animation,Family",8.2,340371.0,18.0,FR,\N,Hayao Miyazaki,1941,\N,"animation_department,director,art_department"
2425,4314,Ponyo sur la falaise,2008,tt0876563,movie,101.0,"Adventure,Animation,Comedy",7.7,127453.0,23.0,FR,\N,Hayao Miyazaki,1941,\N,"animation_department,director,art_department"
2426,2139,Scum,1979,tt0079871,movie,98.0,"Crime,Drama",7.6,10403.0,10.0,FR,\N,Alan Clarke,1935,1990,"director,writer,producer"
2427,2140,Sibériade,1979,tt0079907,movie,275.0,"Drama,History,Romance",8.0,1942.0,8.0,FR,\N,Andrey Konchalovskiy,1937,\N,"writer,director,producer"
2428,2412,"Runaway Train, à bout de course",1985,tt0089941,movie,111.0,"Action,Adventure,Drama",7.2,27149.0,19.0,FR,\N,Andrey Konchalovskiy,1937,\N,"writer,director,producer"
2429,2770,Le cercle des intimes,1991,tt0103838,movie,137.0,"Biography,Drama,History",7.1,1935.0,24.0,FR,\N,Andrey Konchalovskiy,1937,\N,"writer,director,producer"
2430,3763,La maison de fous,2002,tt0332605,movie,104.0,"Drama,Music,Romance",7.1,2664.0,19.0,FR,\N,Andrey Konchalovskiy,1937,\N,"writer,director,producer"
2431,4463,Dorogie tovarishchi,2020,tt10796286,movie,121.0,"Drama,History",7.2,1974.0,14.0,FR,\N,Andrey Konchalovskiy,1937,\N,"writer,director,producer"
2432,5345,Les nuits blanches du facteur,2014,tt3591984,movie,90.0,Drama,7.1,1729.0,7.0,FR,\N,Andrey Konchalovskiy,1937,\N,"writer,director,producer"
2433,2142,Série noire,1979,tt0079980,movie,111.0,"Crime,Drama",7.6,2671.0,9.0,FR,\N,Alain Corneau,1943,2010,"writer,director,assistant_director"
2434,2755,Tous les matins du monde,1991,tt0103110,movie,115.0,"Biography,Drama,History",7.5,6730.0,20.0,FR,\N,Alain Corneau,1943,2010,"writer,director,assistant_director"
2435,2144,C'était demain,1979,tt0080025,movie,112.0,"Adventure,Drama,Sci-Fi",7.1,15466.0,5.0,FR,\N,Nicholas Meyer,1945,\N,"writer,producer,director"
2436,2275,Star Trek II : La Colère de Khan,1982,tt0084726,movie,113.0,"Action,Adventure,Sci-Fi",7.7,113543.0,21.0,FR,\N,Nicholas Meyer,1945,\N,"writer,producer,director"
2437,2750,Star Trek VI : Terre inconnue,1991,tt0102975,movie,110.0,"Action,Adventure,Sci-Fi",7.2,71062.0,16.0,FR,\N,Nicholas Meyer,1945,\N,"writer,producer,director"
